backbone,decoder,encoder,adapter,dataset_name,device,task_name,metric,result,backbone memory(MB),decoder memory(MB),train time(ms),train mem peak(MB),train energy(mJ),inference time(ms),inference mem peak(MB),inference energy(mJ)
momentlarge,mlp,,,PPG-data,NVIDIA A16,diasbp,mae,10.127585713456316,1461.95456,0.5258240000000569,121734.78125,2613.989888,43894.734,200.55181512600038,43.020188097561004,11.187878048780487
momentbase,mlp,,,PPG-data,NVIDIA A16,diasbp,mae,10.489695479230184,455.474688,0.3947519999999827,36996.0234375,1311.500288,14042.174,55.263067943293876,36.44050107317071,3.539780487804878
momentsmall,mlp,,,PPG-data,NVIDIA A16,diasbp,mae,10.011062342946122,151.835648,0.2636800000000221,10243.2802734375,625.839616,3517.97,20.61704842637225,23.026126048780498,1.0484878048780488
chronostiny,mlp,,,PPG-data,NVIDIA A16,diasbp,mae,9.70670932676734,16.789504,0.13260799999999762,6012.97802734375,1399.789056,1384.4,19.647394412901342,52.18915902439025,0.981609756097561
chronosmini,mlp,,,PPG-data,NVIDIA A16,diasbp,mae,10.346121439119665,40.918016,0.1981439999999992,11863.0673828125,2751.832064,2823.319,24.310837071116378,95.38709853658534,1.3684146341463415
chronossmall,mlp,,,PPG-data,NVIDIA A16,diasbp,mae,10.41240152498571,92.30848,0.2636799999999937,18751.787109375,2841.2416,4639.92,33.55516219720608,95.32308604878051,1.7131219512195122
chronosbase,mlp,,,PPG-data,NVIDIA A16,diasbp,mae,10.019732219416921,420.18304,0.3947519999999827,46370.2734375,4530.082304,14041.017,87.42142449355707,138.34744507317083,5.239292682926829
chronoslarge,mlp,,,PPG-data,NVIDIA A16,diasbp,mae,10.215684099895197,1417.926656,0.5258239999998295,115069.765625,6894.023168,39407.608,245.88651889707984,182.14902009756088,14.387341463414634
papageis,mlp,,,PPG-data,NVIDIA A16,diasbp,mae,29.18090336497237,23.242752,0.2636800000000008,3916.729248046875,641.048576,551.577,48.01018884705334,46.08048702439025,1.3537317073170732
papageip,mlp,,,PPG-data,NVIDIA A16,diasbp,mae,32.601936852059715,20.068352,0.2636800000000008,3485.1123046875,637.874176,503.384,12.01577433144174,46.07990009756098,0.407390243902439
papageissvri,mlp,,,PPG-data,NVIDIA A16,diasbp,mae,24.762131016428878,20.068352,0.2636800000000008,3500.937255859375,637.874176,508.916,11.852334138823718,46.07990009756098,0.4094390243902439
