backbone,decoder,encoder,adapter,dataset_name,device,tpc_count,task_name,inference_batch_size,n_requests,backbone_load_time_ms,backbone_load_mem_mb,decoder_load_time_ms,decoder_load_mem_mb,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,backbone_mean_ms,decoder_mean_ms,backbone_ms_per_sample,peak_gpu_mem_mb,avg_gpu_mem_mb,throughput_rps
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,1,200,6124.138282146305,1461.95456,4.592463839799166,0.525824,33.4097,32.7609,33.6895,35.4539,32.6868,0.4073,32.6868,1403.106,1403.106,29.931
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,2,200,6124.138282146305,1461.95456,4.592463839799166,0.525824,45.6198,45.6036,46.1077,46.7546,44.9209,0.3829,22.4605,1403.356,1403.356,43.841
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,4,200,6124.138282146305,1461.95456,4.592463839799166,0.525824,84.0004,84.008,84.5163,84.7924,83.3146,0.361,20.8287,1403.856,1403.856,47.619
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,8,200,6124.138282146305,1461.95456,4.592463839799166,0.525824,170.002,169.8792,171.8974,172.7514,168.8225,0.6002,21.1028,1404.856,1404.856,47.058
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,16,200,6124.138282146305,1461.95456,4.592463839799166,0.525824,328.6938,328.601,330.785,331.4705,327.5337,0.5885,20.4709,1406.856,1406.856,48.678
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,32,200,6124.138282146305,1461.95456,4.592463839799166,0.525824,674.8761,675.3612,678.3982,678.7944,673.7541,0.534,21.0548,1410.856,1410.856,47.416
momentlarge,mlp,,,PPG-data,NVIDIA A2,2,diasbp,1,200,6077.889000065625,1461.95456,4.641943611204624,0.525824,56.5583,55.8896,56.2149,56.8189,55.7563,0.4698,55.7563,1403.106,1403.106,17.681
momentlarge,mlp,,,PPG-data,NVIDIA A2,2,diasbp,2,200,6077.889000065625,1461.95456,4.641943611204624,0.525824,90.9899,90.9416,91.3137,91.3965,90.2092,0.4464,45.1046,1403.356,1403.356,21.98
momentlarge,mlp,,,PPG-data,NVIDIA A2,2,diasbp,4,200,6077.889000065625,1461.95456,4.641943611204624,0.525824,173.3413,173.302,173.6723,173.8699,172.5594,0.4297,43.1399,1403.856,1403.856,23.076
momentlarge,mlp,,,PPG-data,NVIDIA A2,2,diasbp,8,200,6077.889000065625,1461.95456,4.641943611204624,0.525824,341.1485,341.0107,342.1608,342.8275,340.2168,0.4892,42.5271,1404.856,1404.856,23.45
