backbone,decoder,encoder,adapter,dataset_name,device,tpc_count,task_name,inference_batch_size,n_requests,backbone_load_time_ms,backbone_load_mem_mb,decoder_load_time_ms,decoder_load_mem_mb,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,backbone_mean_ms,decoder_mean_ms,backbone_ms_per_sample,peak_gpu_mem_mb,avg_gpu_mem_mb,throughput_rps
momentlarge,mlp,,,ecg5000,NVIDIA A2,5,ecgclass,1,200,6054.684859700501,1461.95456,3.2100058160722256,0.527872,40.5221,39.801,40.7604,41.5427,39.6884,0.4758,39.6884,1403.108,1403.108,24.678
momentlarge,mlp,,,ecg5000,NVIDIA A2,5,ecgclass,2,200,6054.684859700501,1461.95456,3.2100058160722256,0.527872,46.2279,46.2412,46.6805,47.1526,45.4313,0.4332,22.7157,1403.358,1403.358,43.264
momentlarge,mlp,,,ecg5000,NVIDIA A2,5,ecgclass,4,200,6054.684859700501,1461.95456,3.2100058160722256,0.527872,84.5782,84.6471,85.0348,85.3627,83.7714,0.4211,20.9429,1403.858,1403.858,47.293
momentlarge,mlp,,,ecg5000,NVIDIA A2,5,ecgclass,8,200,6054.684859700501,1461.95456,3.2100058160722256,0.527872,168.7253,168.822,169.7443,170.0157,167.8037,0.4266,20.9755,1404.858,1404.858,47.414
momentlarge,mlp,,,ecg5000,NVIDIA A2,5,ecgclass,16,200,6054.684859700501,1461.95456,3.2100058160722256,0.527872,327.918,328.0338,330.3313,331.5574,326.6947,0.547,20.4184,1406.858,1406.858,48.793
momentlarge,mlp,,,ecg5000,NVIDIA A2,2,ecgclass,1,200,5930.2282012067735,1461.95456,4.942665807902813,0.527872,56.4495,55.8548,56.2023,56.5185,55.6206,0.4725,55.6206,1403.108,1403.108,17.715
momentlarge,mlp,,,ecg5000,NVIDIA A2,2,ecgclass,2,200,5930.2282012067735,1461.95456,4.942665807902813,0.527872,90.9901,90.9367,91.2882,91.8297,90.1816,0.4455,45.0908,1403.358,1403.358,21.98
momentlarge,mlp,,,ecg5000,NVIDIA A2,2,ecgclass,4,200,5930.2282012067735,1461.95456,4.942665807902813,0.527872,173.4597,173.4328,173.7738,173.831,172.6453,0.4257,43.1613,1403.858,1403.858,23.06
momentlarge,mlp,,,ecg5000,NVIDIA A2,2,ecgclass,8,200,5930.2282012067735,1461.95456,4.942665807902813,0.527872,341.9156,341.824,342.9495,343.6676,340.7933,0.5068,42.5992,1404.858,1404.858,23.398
momentlarge,mlp,,,ecg5000,NVIDIA A2,2,ecgclass,16,200,5930.2282012067735,1461.95456,4.942665807902813,0.527872,673.2329,672.9856,674.3683,674.9581,672.0267,0.5528,42.0017,1406.858,1406.858,23.766
momentlarge,mlp,,,ecg5000,NVIDIA A2,1,ecgclass,1,200,6022.094658110291,1461.95456,4.848273936659098,0.527872,104.3441,103.6029,103.9757,104.2245,103.5738,0.4168,103.5738,1403.108,1403.108,9.584
momentlarge,mlp,,,ecg5000,NVIDIA A2,1,ecgclass,2,200,6022.094658110291,1461.95456,4.848273936659098,0.527872,172.6469,172.6033,172.9036,173.1176,171.9066,0.3835,85.9533,1403.358,1403.358,11.584
momentlarge,mlp,,,ecg5000,NVIDIA A2,1,ecgclass,4,200,6022.094658110291,1461.95456,4.848273936659098,0.527872,335.1123,335.0573,335.47,335.5977,334.3644,0.369,83.5911,1403.858,1403.858,11.936
momentlarge,mlp,,,ecg5000,NVIDIA A2,1,ecgclass,8,200,6022.094658110291,1461.95456,4.848273936659098,0.527872,664.2626,664.2351,664.5726,664.6639,663.417,0.371,82.9271,1404.858,1404.858,12.043
momentlarge,mlp,,,ecg5000,NVIDIA A2,1,ecgclass,16,200,6022.094658110291,1461.95456,4.848273936659098,0.527872,1315.8581,1315.7784,1316.2254,1316.6401,1314.9038,0.426,82.1815,1406.858,1406.858,12.159
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,1,200,6051.030933856964,1461.95456,4.750216845422983,0.525824,34.74,33.9995,34.9,36.5631,33.9957,0.4213,33.9957,1403.106,1403.106,28.785
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,2,200,6051.030933856964,1461.95456,4.750216845422983,0.525824,45.5368,45.4752,46.0065,46.4923,44.8271,0.3886,22.4135,1403.356,1403.356,43.921
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,1,200,6124.138282146305,1461.95456,4.592463839799166,0.525824,33.4097,32.7609,33.6895,35.4539,32.6868,0.4073,32.6868,1403.106,1403.106,29.931
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,2,200,6124.138282146305,1461.95456,4.592463839799166,0.525824,45.6198,45.6036,46.1077,46.7546,44.9209,0.3829,22.4605,1403.356,1403.356,43.841
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,4,200,6124.138282146305,1461.95456,4.592463839799166,0.525824,84.0004,84.008,84.5163,84.7924,83.3146,0.361,20.8287,1403.856,1403.856,47.619
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,8,200,6124.138282146305,1461.95456,4.592463839799166,0.525824,170.002,169.8792,171.8974,172.7514,168.8225,0.6002,21.1028,1404.856,1404.856,47.058
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,16,200,6124.138282146305,1461.95456,4.592463839799166,0.525824,328.6938,328.601,330.785,331.4705,327.5337,0.5885,20.4709,1406.856,1406.856,48.678
momentlarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,32,200,6124.138282146305,1461.95456,4.592463839799166,0.525824,674.8761,675.3612,678.3982,678.7944,673.7541,0.534,21.0548,1410.856,1410.856,47.416
momentlarge,mlp,,,PPG-data,NVIDIA A2,2,diasbp,1,200,6077.889000065625,1461.95456,4.641943611204624,0.525824,56.5583,55.8896,56.2149,56.8189,55.7563,0.4698,55.7563,1403.106,1403.106,17.681
momentlarge,mlp,,,PPG-data,NVIDIA A2,2,diasbp,2,200,6077.889000065625,1461.95456,4.641943611204624,0.525824,90.9899,90.9416,91.3137,91.3965,90.2092,0.4464,45.1046,1403.356,1403.356,21.98
momentlarge,mlp,,,PPG-data,NVIDIA A2,2,diasbp,4,200,6077.889000065625,1461.95456,4.641943611204624,0.525824,173.3413,173.302,173.6723,173.8699,172.5594,0.4297,43.1399,1403.856,1403.856,23.076
momentlarge,mlp,,,PPG-data,NVIDIA A2,2,diasbp,8,200,6077.889000065625,1461.95456,4.641943611204624,0.525824,341.1485,341.0107,342.1608,342.8275,340.2168,0.4892,42.5271,1404.856,1404.856,23.45
momentlarge,mlp,,,PPG-data,NVIDIA A2,2,diasbp,16,200,6077.889000065625,1461.95456,4.641943611204624,0.525824,671.9638,671.9353,672.2645,672.5693,671.0483,0.4882,41.9405,1406.856,1406.856,23.811
momentlarge,mlp,,,PPG-data,NVIDIA A2,2,diasbp,32,200,6077.889000065625,1461.95456,4.641943611204624,0.525824,1342.0269,1342.0483,1342.4596,1342.7356,1341.03,0.4911,41.9072,1410.856,1410.856,23.845
momentlarge,mlp,,,PPG-data,NVIDIA A2,1,diasbp,1,200,6059.625129681081,1461.95456,4.99211298301816,0.525824,104.6139,104.0489,104.3688,104.5965,103.8112,0.4727,103.8112,1403.106,1403.106,9.559
momentlarge,mlp,,,PPG-data,NVIDIA A2,1,diasbp,2,200,6059.625129681081,1461.95456,4.99211298301816,0.525824,172.9937,172.9483,173.279,173.3704,172.2048,0.4482,86.1024,1403.356,1403.356,11.561
momentlarge,mlp,,,PPG-data,NVIDIA A2,1,diasbp,4,200,6059.625129681081,1461.95456,4.99211298301816,0.525824,335.2359,335.2036,335.5644,335.7223,334.4493,0.4339,83.6123,1403.856,1403.856,11.932
momentlarge,mlp,,,PPG-data,NVIDIA A2,1,diasbp,8,200,6059.625129681081,1461.95456,4.99211298301816,0.525824,663.8259,663.761,664.1658,664.5888,663.0025,0.4465,82.8753,1404.856,1404.856,12.051
momentlarge,mlp,,,PPG-data,NVIDIA A2,1,diasbp,16,200,6059.625129681081,1461.95456,4.99211298301816,0.525824,1314.6674,1314.5651,1315.1645,1315.5807,1313.7519,0.4875,82.1095,1406.856,1406.856,12.17
momentlarge,mlp,,,PPG-data,NVIDIA A2,1,diasbp,32,200,6059.625129681081,1461.95456,4.99211298301816,0.525824,2631.8504,2631.9591,2632.3347,2632.4504,2630.8233,0.5011,82.2132,1410.856,1410.856,12.159
chronoslarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,1,200,33943.617024924606,1417.926656,59.81976306065917,0.525824,96.8709,91.4651,92.2846,92.7619,95.503,1.0455,95.503,1360.867,1360.867,10.323
chronoslarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,2,200,33943.617024924606,1417.926656,59.81976306065917,0.525824,164.707,164.6062,165.2133,165.3918,163.1595,1.2289,81.5798,1360.867,1360.867,12.143
chronoslarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,4,200,33943.617024924606,1417.926656,59.81976306065917,0.525824,317.635,317.035,317.7341,319.0232,315.6594,1.6394,78.9149,1360.867,1360.867,12.593
chronoslarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,8,200,33943.617024924606,1417.926656,59.81976306065917,0.525824,618.4494,618.4914,620.0315,620.9921,615.4144,2.6556,76.9268,1360.867,1360.867,12.936
chronoslarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,16,200,33943.617024924606,1417.926656,59.81976306065917,0.525824,1217.6911,1217.9144,1219.1886,1221.7783,1212.4436,4.8119,75.7777,1360.867,1360.867,13.14
chronoslarge,mlp,,,PPG-data,NVIDIA A2,5,diasbp,32,200,33943.617024924606,1417.926656,59.81976306065917,0.525824,2447.8826,2447.5323,2450.3197,2455.8216,2429.0737,16.0921,75.9086,1360.867,1360.867,13.073
chronoslarge,mlp,,,PPG-data,NVIDIA A2,2,diasbp,1,200,1445.81193709746,1417.926656,5.742574110627174,0.525824,153.2176,152.2628,152.8407,153.1858,151.8707,1.0283,151.8707,1360.867,1360.867,6.527
chronoslarge,mlp,,,PPG-data,NVIDIA A2,2,diasbp,2,200,1445.81193709746,1417.926656,5.742574110627174,0.525824,295.068,294.9971,295.4467,296.2095,293.5362,1.2063,146.7681,1360.867,1360.867,6.778
chronoslarge,mlp,,,PPG-data,NVIDIA A2,2,diasbp,4,200,1445.81193709746,1417.926656,5.742574110627174,0.525824,571.8339,571.7573,572.2992,573.0795,569.8884,1.6139,142.4721,1360.867,1360.867,6.995
chronoslarge,mlp,,,PPG-data,NVIDIA A2,2,diasbp,8,200,1445.81193709746,1417.926656,5.742574110627174,0.525824,1121.1634,1120.943,1122.3591,1125.4936,1117.8954,2.882,139.7369,1360.867,1360.867,7.135
chronoslarge,mlp,,,PPG-data,NVIDIA A2,2,diasbp,16,200,1445.81193709746,1417.926656,5.742574110627174,0.525824,2194.6482,2194.4408,2195.2096,2199.7365,2189.0127,5.194,136.8133,1360.867,1360.867,7.29
