req_idx,send_time,latency_ms
0,1773550117.245685,109.807
1,1773550117.257239,98.257
2,1773550117.284532,70.967
3,1773550117.374595,57.106
4,1773550117.727073,34.772
5,1773550117.780937,32.018
6,1773550117.831012,34.193
7,1773550117.853393,39.738
8,1773550117.973690,53.344
9,1773550117.989267,37.770
10,1773550118.268337,38.258
11,1773550118.354858,55.308
12,1773550118.370573,39.621
13,1773550118.424287,26.285
14,1773550118.461663,26.988
15,1773550118.488481,28.185
16,1773550118.508826,42.681
17,1773550118.510142,41.368
18,1773550118.731783,38.785
19,1773550118.742288,28.283
20,1773550118.771809,38.544
21,1773550118.850841,40.540
22,1773550118.889286,23.188
23,1773550119.044987,45.921
24,1773550119.059417,31.494
25,1773550119.079684,34.212
26,1773550119.118992,27.096
27,1773550119.209215,32.515
28,1773550119.252823,32.794
29,1773550119.292697,26.715
30,1773550119.515126,57.632
31,1773550119.516563,56.233
32,1773550119.533803,38.996
33,1773550119.683233,31.247
34,1773550119.766571,26.655
35,1773550119.834590,47.577
36,1773550119.844872,37.299
37,1773550120.045429,30.639
38,1773550120.188273,27.056
39,1773550120.222002,28.335
40,1773550120.242542,31.947
41,1773550120.385677,26.984
42,1773550120.638634,25.959
43,1773550120.684682,30.222
44,1773550120.767338,29.102
45,1773550120.892594,33.848
46,1773550121.069654,46.526
47,1773550121.178299,31.362
48,1773550121.384905,67.616
49,1773550121.399380,53.144
50,1773550121.414633,37.894
51,1773550121.428879,23.654
52,1773550121.476632,26.601
53,1773550121.508314,28.850
54,1773550121.920143,38.811
55,1773550121.932681,26.278
56,1773550122.135234,23.184
57,1773550122.158237,23.973
58,1773550122.223320,25.624
59,1773550122.482257,26.611
60,1773550122.556004,25.930
61,1773550122.581450,39.524
62,1773550122.584994,35.986
63,1773550122.624072,63.014
64,1773550122.628994,58.095
65,1773550122.756232,34.690
66,1773550123.142534,28.007
67,1773550123.162861,40.909
68,1773550123.404154,26.883
69,1773550123.436121,44.536
70,1773550123.565814,45.497
71,1773550123.569282,42.032
72,1773550123.641412,32.219
73,1773550123.702727,34.792
74,1773550123.784012,44.773
75,1773550123.791407,37.383
76,1773550123.838875,44.629
77,1773550123.844239,39.270
78,1773550123.991176,38.853
79,1773550123.999551,30.480
80,1773550124.054978,27.755
81,1773550124.104829,31.559
82,1773550124.142467,39.168
83,1773550124.152790,28.848
84,1773550124.201727,33.326
85,1773550124.262147,26.460
86,1773550124.427665,34.942
87,1773550124.667342,32.501
88,1773550124.779003,33.069
89,1773550124.840163,31.177
90,1773550124.909431,31.168
91,1773550124.959693,46.329
92,1773550124.976075,29.950
93,1773550125.115042,26.108
94,1773550125.195675,27.594
95,1773550125.364472,31.474
96,1773550125.474335,25.471
97,1773550125.795567,26.737
98,1773550126.054077,45.417
99,1773550126.059515,39.986
100,1773550126.287746,26.718
101,1773550126.316542,28.484
102,1773550126.418525,26.314
103,1773550126.791778,31.756
104,1773550126.829622,53.614
105,1773550126.853245,29.995
106,1773550126.957951,36.753
107,1773550126.962436,32.273
108,1773550127.024812,32.872
109,1773550127.057216,34.710
110,1773550127.116019,28.609
111,1773550127.297578,31.367
112,1773550127.413607,25.508
113,1773550127.909534,35.203
114,1773550128.024876,30.908
115,1773550128.573640,27.067
116,1773550128.748948,31.088
117,1773550128.829144,33.622
118,1773550128.994013,24.161
119,1773550129.212324,41.289
120,1773550129.222854,30.764
121,1773550129.281723,23.739
122,1773550129.299136,25.386
123,1773550129.365630,37.897
124,1773550129.370065,33.466
125,1773550129.410618,22.485
126,1773550129.467207,23.310
127,1773550129.512613,23.251
128,1773550129.546952,22.803
129,1773550129.573831,36.871
130,1773550129.581105,29.602
131,1773550129.613787,33.703
132,1773550129.645029,22.119
133,1773550129.746295,24.981
134,1773550129.997571,24.504
135,1773550130.037496,22.570
136,1773550130.527572,31.929
137,1773550130.551007,30.933
138,1773550130.736314,38.475
139,1773550130.737773,37.020
140,1773550130.955498,42.651
141,1773550130.967000,31.153
142,1773550130.987249,33.466
143,1773550131.032825,24.359
144,1773550131.084292,40.201
145,1773550131.086705,37.793
146,1773550131.184629,26.019
147,1773550131.315831,26.271
148,1773550131.383212,25.038
149,1773550131.536458,39.256
150,1773550131.544979,30.740
151,1773550131.789066,23.267
152,1773550131.843441,25.273
153,1773550131.893824,24.956
154,1773550131.955913,22.498
155,1773550132.006516,24.871
156,1773550132.146996,23.799
157,1773550132.261953,30.071
158,1773550132.364571,44.897
159,1773550132.417549,26.081
160,1773550132.457721,29.453
161,1773550132.518268,31.910
162,1773550132.781195,30.117
163,1773550133.021031,32.628
164,1773550133.101774,32.663
165,1773550133.326691,36.553
166,1773550133.524477,43.991
167,1773550133.541916,26.556
168,1773550133.905385,23.636
169,1773550134.054252,26.448
170,1773550134.104802,24.841
171,1773550134.215811,38.050
172,1773550134.216277,37.588
173,1773550134.301986,25.660
174,1773550134.426817,26.021
175,1773550134.686143,25.165
176,1773550134.734400,25.210
177,1773550134.825015,31.739
178,1773550134.847388,32.215
179,1773550134.894697,38.866
180,1773550135.155346,45.150
181,1773550135.248609,34.099
182,1773550135.347825,23.644
183,1773550135.388561,26.309
184,1773550135.485035,31.885
185,1773550135.524007,28.857
186,1773550135.674009,27.582
187,1773550135.694415,44.974
188,1773550135.705667,33.725
189,1773550135.931892,26.700
190,1773550136.013713,25.733
191,1773550136.130875,27.212
192,1773550136.356361,33.418
193,1773550136.664688,31.148
194,1773550136.724946,24.988
195,1773550136.748010,25.158
196,1773550136.801282,25.067
197,1773550136.917528,41.311
198,1773550136.921071,37.772
199,1773550136.977944,24.805
200,1773550137.140991,23.583
201,1773550137.320038,22.880
202,1773550137.578550,28.667
203,1773550137.667351,25.941
