req_idx,send_time,latency_ms
0,1773543791.330732,355.634
1,1773543791.358640,327.734
2,1773543791.715560,36.875
3,1773543791.851902,61.979
4,1773543792.021346,66.535
5,1773543792.202583,72.535
6,1773543792.227411,47.714
7,1773543793.240864,67.361
8,1773543793.528118,21.069
9,1773543793.717047,25.830
10,1773543793.948572,73.606
11,1773543793.977341,44.875
12,1773543794.246212,62.119
13,1773543794.372482,62.472
14,1773543794.426122,62.104
15,1773543794.664893,67.435
16,1773543794.938316,40.166
17,1773543795.022599,73.532
18,1773543795.343461,33.624
19,1773543795.931205,33.236
20,1773543796.257518,66.904
21,1773543796.384578,73.579
22,1773543796.408128,50.034
23,1773543796.531804,55.726
24,1773543796.551109,36.424
25,1773543796.695750,62.442
26,1773543796.849379,68.275
27,1773543796.889989,27.669
28,1773543796.933007,42.413
29,1773543796.978508,61.517
30,1773543797.109593,67.795
31,1773543797.542867,68.482
32,1773543797.786135,74.211
33,1773543798.021261,61.806
34,1773543798.134195,67.286
35,1773543798.167708,33.777
36,1773543798.432143,67.669
37,1773543799.030937,27.837
38,1773543799.105332,53.080
39,1773543799.306241,73.323
40,1773543799.597210,53.519
41,1773543799.601505,49.227
42,1773543799.716897,68.089
43,1773543799.817104,61.934
44,1773543799.867575,61.096
45,1773543799.921147,67.190
46,1773543799.926564,61.779
47,1773543800.197216,52.912
48,1773543800.247938,70.364
49,1773543800.414981,68.020
50,1773543800.425672,57.333
51,1773543800.788585,67.188
52,1773543800.824411,31.366
53,1773543801.206545,62.378
54,1773543801.339078,68.260
55,1773543801.368612,38.730
56,1773543802.093652,72.948
57,1773543802.556496,67.371
58,1773543802.641560,71.059
59,1773543803.401276,19.804
60,1773543803.710652,61.944
61,1773543804.115307,67.719
62,1773543804.213515,63.629
63,1773543804.345686,20.029
64,1773543804.420842,62.180
65,1773543804.506120,61.947
66,1773543804.722226,19.550
67,1773543804.748859,67.151
68,1773543804.795182,20.832
69,1773543804.913132,67.630
70,1773543805.147574,37.044
71,1773543805.232738,73.718
72,1773543805.263490,42.975
73,1773543805.538701,39.190
74,1773543805.592988,79.204
75,1773543805.641977,30.281
76,1773543805.688351,61.918
77,1773543805.857600,68.049
78,1773543806.953383,47.487
79,1773543807.092053,67.621
80,1773543807.175769,66.984
81,1773543807.530771,62.303
82,1773543807.685919,62.109
83,1773543807.776128,67.900
84,1773543808.128783,62.108
85,1773543808.189400,78.914
86,1773543808.197977,70.343
87,1773543808.252718,61.527
88,1773543808.533936,68.199
89,1773543808.630242,61.897
90,1773543808.942379,67.547
91,1773543809.350746,62.285
92,1773543809.830285,67.428
93,1773543809.858730,38.989
94,1773543810.011782,42.717
95,1773543810.165714,62.371
96,1773543810.641765,40.052
97,1773543810.924465,79.182
98,1773543810.970554,33.108
99,1773543811.301464,62.242
100,1773543811.980434,62.492
101,1773543812.142949,28.827
102,1773543812.301009,62.310
103,1773543812.931027,62.133
104,1773543813.036277,67.261
105,1773543813.040734,62.809
106,1773543813.199955,73.774
107,1773543813.618422,55.247
108,1773543813.764856,73.637
109,1773543813.773462,65.037
110,1773543813.961043,67.187
111,1773543813.980584,47.650
112,1773543814.175484,67.827
113,1773543814.378268,66.861
114,1773543814.460244,61.884
115,1773543814.677375,67.473
116,1773543814.680991,63.862
117,1773543815.039071,67.554
118,1773543815.495181,35.754
119,1773543815.519874,66.717
120,1773543815.555005,31.590
121,1773543815.569367,60.813
122,1773543815.856498,73.371
123,1773543815.868104,61.769
124,1773543816.197069,73.524
125,1773543816.853579,67.139
126,1773543817.236866,41.864
127,1773543817.357475,75.102
128,1773543817.359561,73.020
129,1773543817.362768,69.818
130,1773543817.547817,63.573
131,1773543817.753657,69.647
132,1773543817.911520,69.153
133,1773543817.918378,62.300
134,1773543818.066857,62.505
135,1773543818.520738,29.310
136,1773543818.581161,68.126
137,1773543819.627857,61.769
138,1773543819.897057,50.610
139,1773543820.068480,63.979
140,1773543820.082793,49.669
141,1773543820.213149,54.593
142,1773543820.223548,44.201
143,1773543820.502295,26.323
144,1773543820.530699,73.469
145,1773543820.579209,25.002
146,1773543820.797226,62.199
147,1773543820.958727,61.695
148,1773543821.213540,62.051
