req_idx,send_time,latency_ms
0,1773553181.641520,293.129
1,1773553181.904906,55.256
2,1773553182.032906,11.821
3,1773553182.104852,12.047
4,1773553182.310553,12.053
5,1773553182.382726,12.172
6,1773553182.405989,11.451
7,1773553182.422524,11.242
8,1773553182.547995,12.403
9,1773553182.587499,11.926
10,1773553182.613514,11.354
11,1773553182.734931,11.138
12,1773553182.840227,12.466
13,1773553182.989902,12.586
14,1773553183.035146,11.091
15,1773553183.121397,12.193
16,1773553183.251873,12.387
17,1773553183.325398,12.610
18,1773553183.518755,19.197
19,1773553183.539022,17.856
20,1773553183.555620,11.854
21,1773553183.850815,12.369
22,1773553183.895277,11.501
23,1773553183.936874,11.503
24,1773553184.102902,11.955
25,1773553184.222027,12.291
26,1773553184.248404,11.276
27,1773553184.328900,11.927
28,1773553184.369922,11.427
29,1773553184.385425,10.884
30,1773553184.395650,11.173
31,1773553184.545071,12.290
32,1773553184.691003,12.346
33,1773553184.751078,13.256
34,1773553184.775418,11.085
35,1773553184.839605,12.418
36,1773553184.939448,11.750
37,1773553184.961272,11.019
38,1773553185.070006,11.683
39,1773553185.095115,11.021
40,1773553185.419132,12.348
41,1773553185.605997,11.922
42,1773553185.824568,12.287
43,1773553185.893706,11.196
44,1773553186.003183,12.098
45,1773553186.053482,11.293
46,1773553186.274956,12.036
47,1773553186.413352,12.255
48,1773553186.457670,11.239
49,1773553186.656160,12.296
50,1773553186.692842,11.152
51,1773553186.768121,11.944
52,1773553186.893422,11.039
53,1773553186.990600,12.136
54,1773553187.007007,17.029
55,1773553187.125192,12.401
56,1773553187.127627,19.273
57,1773553187.207015,11.904
58,1773553187.272023,11.768
59,1773553187.509291,15.618
60,1773553187.645556,17.992
61,1773553187.656310,16.626
62,1773553187.864587,11.250
63,1773553187.872902,12.269
64,1773553187.919460,10.874
65,1773553187.998457,12.098
66,1773553188.062224,10.897
67,1773553188.078193,10.868
68,1773553188.082398,15.932
69,1773553188.108409,11.009
70,1773553188.201825,11.333
71,1773553188.332330,12.144
72,1773553188.575459,12.104
73,1773553188.614663,11.567
74,1773553188.616981,18.600
75,1773553188.653574,10.878
76,1773553189.000322,11.176
77,1773553189.010599,11.289
78,1773553189.175813,10.844
79,1773553189.329248,11.169
80,1773553189.656624,15.018
81,1773553189.787170,10.859
82,1773553189.921455,11.162
83,1773553190.021713,10.906
84,1773553190.046704,11.122
85,1773553190.057208,19.376
86,1773553190.095663,11.166
87,1773553190.100945,15.252
88,1773553190.122274,10.987
89,1773553190.164634,11.034
90,1773553190.166837,18.175
91,1773553190.243731,11.045
92,1773553190.334587,11.264
93,1773553190.389070,17.570
94,1773553190.439727,11.585
95,1773553190.483403,11.564
96,1773553190.660093,12.999
97,1773553190.667834,14.591
98,1773553190.723518,11.599
99,1773553190.746197,11.031
100,1773553190.776314,11.159
101,1773553191.034739,12.872
102,1773553191.127748,12.145
103,1773553191.652367,12.153
104,1773553191.676599,11.056
105,1773553191.851603,11.674
106,1773553191.877672,10.965
107,1773553191.938733,11.682
108,1773553192.176930,11.017
109,1773553192.230045,11.563
110,1773553192.274630,11.265
111,1773553192.402465,11.425
112,1773553192.593138,12.216
113,1773553192.844042,11.288
114,1773553192.911443,11.815
115,1773553193.034428,12.174
116,1773553193.053682,11.190
117,1773553193.055905,18.276
118,1773553193.088264,11.108
119,1773553193.113450,11.044
120,1773553193.140582,11.155
121,1773553193.267052,10.853
122,1773553193.355283,11.165
123,1773553193.527033,11.422
124,1773553193.642612,12.140
125,1773553193.694157,11.502
126,1773553193.785273,11.472
127,1773553193.824836,11.410
128,1773553193.917388,12.271
129,1773553193.964753,11.532
130,1773553193.990368,11.184
131,1773553194.103186,12.941
132,1773553194.233307,12.154
133,1773553194.259544,11.085
134,1773553194.362784,22.445
135,1773553194.368037,17.195
136,1773553194.409327,11.434
137,1773553194.588018,14.679
138,1773553194.685841,12.472
139,1773553194.964944,12.195
140,1773553194.985215,11.003
141,1773553195.038314,11.540
142,1773553195.132468,11.581
143,1773553195.255557,12.108
144,1773553195.283997,18.372
145,1773553195.321459,11.245
146,1773553195.348186,13.091
147,1773553195.411381,11.764
148,1773553195.460239,11.492
149,1773553195.507221,10.951
150,1773553195.566476,11.259
151,1773553195.576780,11.509
152,1773553195.645396,18.338
153,1773553195.677824,11.305
154,1773553195.683125,15.348
155,1773553195.843679,12.311
156,1773553195.893084,11.603
157,1773553195.904434,11.017
158,1773553195.987588,12.047
159,1773553196.079777,12.177
160,1773553196.125049,11.501
161,1773553196.414891,12.157
162,1773553196.419351,17.637
163,1773553196.522241,11.950
164,1773553196.667381,12.144
165,1773553196.691611,11.063
166,1773553196.908621,12.250
167,1773553197.043195,11.616
168,1773553197.102914,11.657
169,1773553197.278748,11.426
170,1773553197.341278,11.755
171,1773553197.424179,11.799
172,1773553197.728332,12.189
173,1773553198.047762,12.123
174,1773553198.154038,12.095
175,1773553198.370746,10.928
176,1773553198.459710,10.996
177,1773553198.477782,11.143
178,1773553198.747208,17.542
179,1773553198.780841,11.328
180,1773553198.811258,11.245
181,1773553198.937860,13.919
182,1773553199.047520,11.600
183,1773553199.107332,11.474
184,1773553199.148506,14.132
185,1773553199.212739,11.724
186,1773553199.253547,11.333
187,1773553199.429739,10.857
188,1773553199.586918,11.230
189,1773553199.615239,11.160
190,1773553199.691519,11.949
191,1773553199.919182,12.142
192,1773553199.927616,12.983
193,1773553199.965691,11.382
194,1773553200.074022,11.175
195,1773553200.247588,12.090
196,1773553200.262753,10.858
197,1773553200.449434,12.165
198,1773553200.523715,12.530
199,1773553200.578353,11.589
200,1773553200.666896,11.036
201,1773553200.823147,12.229
202,1773553200.941694,12.126
203,1773553200.980909,11.371
204,1773553201.266878,11.807
205,1773553201.269244,18.708
206,1773553201.509560,12.119
207,1773553201.526752,11.006
208,1773553201.652842,11.883
209,1773553201.730850,12.101
210,1773553201.903170,12.401
211,1773553201.910821,23.503
212,1773553202.084486,11.880
213,1773553202.222558,12.189
214,1773553202.238824,10.904
215,1773553202.295827,11.665
216,1773553202.317576,11.615
217,1773553202.339270,11.043
218,1773553202.459491,12.150
219,1773553202.794472,12.161
220,1773553202.855731,11.664
221,1773553202.965892,11.266
222,1773553202.982232,10.905
223,1773553203.317203,12.184
224,1773553203.360473,11.350
225,1773553203.367781,13.354
226,1773553203.382205,11.030
227,1773553203.503042,12.284
228,1773553203.603489,12.406
