req_idx,send_time,latency_ms
0,1773552893.217454,289.419
1,1773552893.288005,229.112
2,1773552893.341520,190.846
3,1773552893.411033,121.337
4,1773552893.689600,12.509
5,1773552893.866891,11.615
6,1773552893.884596,11.289
7,1773552893.899981,11.385
8,1773552893.992523,12.320
9,1773552894.323396,12.398
10,1773552894.664737,12.581
11,1773552895.065811,12.437
12,1773552895.098345,11.728
13,1773552895.172206,12.118
14,1773552895.431660,12.351
15,1773552895.681323,12.432
16,1773552895.707839,11.335
17,1773552895.733271,11.287
18,1773552895.758645,11.162
19,1773552895.792897,11.348
20,1773552895.869391,12.123
21,1773552895.959668,12.450
22,1773552896.049262,12.409
23,1773552896.052736,18.332
24,1773552896.075145,11.069
25,1773552896.366330,12.330
26,1773552896.388742,11.121
27,1773552896.416957,11.317
28,1773552896.455365,11.377
29,1773552896.544877,12.256
30,1773552896.619249,12.035
31,1773552896.857944,11.027
32,1773552896.907465,11.096
33,1773552897.046749,12.315
34,1773552897.050285,18.118
35,1773552897.136532,12.187
36,1773552897.324967,17.835
37,1773552897.325348,17.485
38,1773552897.519077,12.291
39,1773552897.546462,10.858
40,1773552897.717735,12.274
41,1773552897.919707,12.469
42,1773552897.932036,10.911
43,1773552897.953030,11.068
44,1773552897.969173,10.983
45,1773552898.007528,11.045
46,1773552898.021650,10.914
47,1773552898.031895,11.239
48,1773552898.075547,17.436
49,1773552898.161111,12.144
50,1773552898.163527,19.017
51,1773552898.204633,11.378
52,1773552898.220084,10.934
53,1773552898.456307,12.341
54,1773552898.514751,11.770
55,1773552898.518134,17.700
56,1773552898.585938,11.878
57,1773552898.749036,12.289
58,1773552898.844477,12.232
59,1773552898.919830,12.112
60,1773552898.963034,11.501
61,1773552899.060785,11.090
62,1773552899.066056,15.242
63,1773552899.100383,11.325
64,1773552899.150803,11.649
65,1773552899.298025,11.345
66,1773552899.328455,11.254
67,1773552899.543338,11.256
68,1773552899.557671,10.962
69,1773552899.678817,12.321
70,1773552899.773284,12.391
71,1773552899.785513,10.947
72,1773552900.014020,12.255
73,1773552900.076379,11.780
74,1773552900.299440,12.310
75,1773552900.446984,12.258
76,1773552900.494337,11.485
77,1773552900.524918,11.321
78,1773552901.099887,18.718
79,1773552901.101340,17.267
80,1773552901.197757,18.411
81,1773552901.230257,11.160
82,1773552901.263504,11.218
83,1773552901.277798,10.915
84,1773552901.283017,15.108
85,1773552901.331215,11.461
