req_idx,send_time,latency_ms
0,1773594250.874030,256.982
1,1773594250.907046,234.185
2,1773594250.963547,250.260
3,1773594250.976009,238.077
4,1773594250.990947,223.391
5,1773594250.997277,217.268
6,1773594251.055137,159.757
7,1773594251.068179,146.926
8,1773594251.071058,144.310
9,1773594251.076288,139.405
10,1773594251.078644,137.251
11,1773594251.097009,119.097
12,1773594251.109318,106.983
13,1773594251.153325,73.796
14,1773594251.157642,104.805
15,1773594251.158867,103.795
16,1773594251.192080,70.829
17,1773594251.197412,65.798
18,1773594251.211659,51.750
19,1773594251.233207,41.082
20,1773594251.238732,57.822
21,1773594251.240191,56.589
22,1773594251.250405,46.593
23,1773594251.264496,42.836
24,1773594251.296009,21.183
25,1773594251.331289,11.360
26,1773594251.373764,11.583
27,1773594251.444147,11.513
28,1773594251.455201,11.743
29,1773594251.458776,23.433
30,1773594251.487293,11.306
31,1773594251.498453,11.119
32,1773594251.585739,12.351
33,1773594251.689285,11.271
34,1773594251.696885,13.664
35,1773594251.701643,18.468
36,1773594251.713636,16.064
37,1773594251.801109,11.764
38,1773594251.837989,11.451
39,1773594251.955634,12.358
40,1773594251.969074,11.086
41,1773594251.979434,11.338
42,1773594251.984247,16.132
43,1773594252.015471,11.447
44,1773594252.017072,19.821
45,1773594252.027997,18.994
46,1773594252.032146,24.541
47,1773594252.037987,28.595
48,1773594252.056535,19.726
49,1773594252.074671,11.152
50,1773594252.086905,11.032
51,1773594252.112032,11.510
52,1773594252.123100,11.822
53,1773594252.125626,18.888
54,1773594252.193624,11.980
55,1773594252.235709,11.505
56,1773594252.259308,11.144
57,1773594252.289546,11.311
58,1773594252.295017,15.532
59,1773594252.310404,11.103
60,1773594252.316688,14.423
61,1773594252.328107,12.424
62,1773594252.339419,20.140
63,1773594252.347611,21.540
64,1773594252.352096,26.541
65,1773594252.377233,12.097
66,1773594252.382719,21.675
67,1773594252.385927,18.594
68,1773594252.389139,25.001
69,1773594252.409642,19.724
70,1773594252.459460,11.750
71,1773594252.473290,11.119
72,1773594252.474504,19.287
73,1773594252.486484,16.733
74,1773594252.494861,27.487
75,1773594252.505291,26.478
76,1773594252.536848,11.189
77,1773594252.558122,11.127
78,1773594252.601342,11.564
79,1773594252.615988,10.922
80,1773594252.620207,16.090
81,1773594252.663393,11.472
82,1773594252.724987,11.915
83,1773594252.786478,11.517
84,1773594252.793781,13.609
85,1773594252.823478,11.106
86,1773594252.828733,15.392
87,1773594252.833930,19.530
88,1773594252.850201,12.650
89,1773594252.866930,11.066
90,1773594252.888081,11.139
91,1773594252.904504,17.073
92,1773594252.926657,10.943
93,1773594252.930880,16.089
94,1773594252.940682,15.677
95,1773594252.943893,21.822
96,1773594252.977808,11.225
97,1773594252.985287,18.547
98,1773594253.019920,11.385
99,1773594253.045392,11.306
100,1773594253.070785,11.194
101,1773594253.103066,11.665
102,1773594253.128820,11.234
103,1773594253.131087,18.304
104,1773594253.169499,11.067
105,1773594253.218664,11.649
106,1773594253.245636,17.293
107,1773594253.252831,19.627
108,1773594253.260547,21.264
109,1773594253.286893,14.031
110,1773594253.337885,16.691
111,1773594253.338057,16.547
112,1773594253.398711,11.791
113,1773594253.404079,15.755
114,1773594253.412576,16.629
115,1773594253.431281,10.848
116,1773594253.436498,14.965
117,1773594253.450210,11.784
118,1773594253.472438,11.208
119,1773594253.500313,11.005
120,1773594253.503528,22.523
121,1773594253.504713,21.364
122,1773594253.582192,12.141
123,1773594253.585564,18.313
124,1773594253.594203,19.089
125,1773594253.605953,16.755
126,1773594253.623784,11.073
127,1773594253.688406,11.230
128,1773594253.727736,11.492
129,1773594253.749310,11.173
130,1773594253.751536,18.419
131,1773594253.794412,11.284
132,1773594253.824349,11.748
133,1773594253.826682,24.197
134,1773594253.866974,16.628
135,1773594253.868240,15.380
136,1773594253.901774,16.634
137,1773594253.915142,12.650
138,1773594253.937874,11.047
139,1773594253.940121,23.664
140,1773594253.941300,22.578
141,1773594253.963013,11.522
142,1773594253.970959,13.188
143,1773594253.973170,20.428
144,1773594253.986222,16.926
145,1773594254.017227,11.379
146,1773594254.034688,11.120
147,1773594254.036909,18.286
148,1773594254.065282,11.133
149,1773594254.068567,22.599
150,1773594254.070749,20.452
151,1773594254.097274,11.106
152,1773594254.135477,11.447
153,1773594254.157007,11.101
154,1773594254.184192,11.230
155,1773594254.200501,11.003
156,1773594254.226592,11.249
157,1773594254.241919,10.957
158,1773594254.245151,17.194
159,1773594254.276781,10.950
160,1773594254.282015,15.304
161,1773594254.288802,17.879
162,1773594254.310762,11.366
163,1773594254.355773,16.572
164,1773594254.355942,16.485
165,1773594254.366131,15.922
166,1773594254.377855,34.650
167,1773594254.388130,34.326
168,1773594254.393610,38.575
169,1773594254.415675,26.376
170,1773594254.433258,18.347
171,1773594254.449127,12.244
172,1773594254.454683,16.392
173,1773594254.457880,22.744
174,1773594254.483703,11.055
175,1773594254.500840,12.951
176,1773594254.513685,10.956
177,1773594254.514912,19.287
178,1773594254.522094,21.672
179,1773594254.529717,23.585
