task,send_time_s,latency_ms,phase
gestureclass,0.0001,247.272,1
gestureclass,0.0215,244.472,1
gestureclass,0.0339,250.801,1
gestureclass,0.0422,251.811,1
gestureclass,0.0905,212.814,1
gestureclass,0.1009,211.651,1
gestureclass,0.1278,194.195,1
gestureclass,0.1851,146.294,1
gestureclass,0.2494,91.405,1
gestureclass,0.2730,77.179,1
gestureclass,0.2753,84.389,1
gestureclass,0.2980,71.075,1
gestureclass,0.3260,62.360,1
gestureclass,0.3563,50.940,1
gestureclass,0.3702,56.283,1
gestureclass,0.5816,10.513,1
gestureclass,0.6493,10.468,1
gestureclass,0.6546,14.329,1
gestureclass,0.6588,19.418,1
gestureclass,0.6887,17.533,1
gestureclass,0.7687,9.958,1
gestureclass,0.7730,14.949,1
gestureclass,0.8538,10.540,1
gestureclass,0.9072,9.694,1
gestureclass,0.9910,12.557,1
gestureclass,1.0767,10.177,1
gestureclass,1.1477,9.834,1
gestureclass,1.1947,10.231,1
gestureclass,1.2983,9.776,1
gestureclass,1.3479,9.748,1
gestureclass,1.3908,9.827,1
gestureclass,1.4285,10.765,1
gestureclass,1.4988,9.695,1
gestureclass,1.5156,9.774,1
gestureclass,1.7302,10.403,1
gestureclass,1.8115,10.832,1
gestureclass,1.8202,20.887,1
gestureclass,1.8834,13.494,1
gestureclass,1.9492,9.768,1
gestureclass,1.9564,11.774,1
gestureclass,1.9843,9.893,1
gestureclass,2.0015,13.920,1
gestureclass,2.0112,13.422,1
gestureclass,2.0257,9.654,1
gestureclass,2.0942,16.464,1
gestureclass,2.1292,18.893,1
gestureclass,2.1468,10.758,1
gestureclass,2.1586,9.777,1
gestureclass,2.2485,10.508,1
gestureclass,2.2801,9.952,1
gestureclass,2.3402,10.410,1
gestureclass,2.3677,9.941,1
gestureclass,2.3828,9.828,1
gestureclass,2.4528,11.727,1
gestureclass,2.4892,9.715,1
gestureclass,2.5411,9.785,1
gestureclass,2.6357,10.161,1
gestureclass,2.7642,10.810,1
gestureclass,2.8281,10.467,1
gestureclass,2.8767,10.255,1
gestureclass,2.9565,9.794,1
gestureclass,2.9724,9.677,1
gestureclass,2.9921,9.778,1
gestureclass,3.0573,9.754,1
gestureclass,3.0772,9.772,1
gestureclass,3.0970,9.825,1
gestureclass,3.2024,10.064,1
gestureclass,3.2865,16.910,1
gestureclass,3.3065,9.621,1
gestureclass,3.3372,9.956,1
gestureclass,3.4242,10.426,1
gestureclass,3.4285,15.289,1
gestureclass,3.4927,13.371,1
gestureclass,3.5020,13.393,1
gestureclass,3.5995,10.579,1
gestureclass,3.6321,10.036,1
gestureclass,3.6404,11.018,1
gestureclass,3.6404,20.304,1
gestureclass,3.6421,28.027,1
gestureclass,3.6618,26.829,1
gestureclass,3.7388,10.744,1
gestureclass,3.7411,17.678,1
gestureclass,3.8072,14.237,1
gestureclass,3.9193,19.131,1
gestureclass,3.9407,35.409,1
gestureclass,4.0077,10.297,1
gestureclass,4.0090,18.369,1
gestureclass,4.0152,21.553,1
gestureclass,4.0295,25.777,1
gestureclass,4.0573,16.646,1
gestureclass,4.1188,17.075,1
gestureclass,4.2062,10.591,1
gestureclass,4.2301,10.711,1
gestureclass,4.2659,10.050,1
gestureclass,4.4662,10.767,1
gestureclass,4.5059,9.559,1
gestureclass,4.5326,9.905,1
gestureclass,4.6194,10.645,1
gestureclass,4.8921,10.038,1
gestureclass,4.9192,9.982,1
gestureclass,4.9754,9.900,1
gestureclass,5.0972,9.871,1
gestureclass,5.1191,9.811,1
gestureclass,5.1490,9.950,1
gestureclass,5.1875,19.139,1
gestureclass,5.2312,9.797,1
gestureclass,5.2991,9.773,1
gestureclass,5.3577,10.146,1
gestureclass,5.3849,9.957,1
gestureclass,5.5132,9.801,1
gestureclass,5.5420,9.980,1
gestureclass,5.5551,9.596,1
gestureclass,5.6044,9.969,1
gestureclass,5.6964,9.648,1
gestureclass,5.7111,9.698,1
gestureclass,5.7566,10.019,1
gestureclass,5.7759,14.659,1
gestureclass,5.7781,21.813,1
gestureclass,5.7916,36.218,1
gestureclass,5.8499,10.182,1
gestureclass,5.9203,10.563,1
gestureclass,5.9339,15.397,1
gestureclass,5.9834,9.710,1
gestureclass,6.0122,9.927,1
gestureclass,6.0581,19.486,1
gestureclass,6.0604,26.576,1
gestureclass,6.0675,28.782,1
gestureclass,6.0787,27.031,1
gestureclass,6.0962,18.881,1
gestureclass,6.1232,9.946,1
gestureclass,6.1521,9.668,1
gestureclass,6.1809,9.984,1
gestureclass,6.1862,13.996,1
gestureclass,6.3308,10.842,1
gestureclass,6.3517,9.793,1
gestureclass,6.3926,10.554,1
gestureclass,6.4913,10.771,1
gestureclass,6.4988,12.543,1
gestureclass,6.5400,13.781,1
gestureclass,6.5649,9.800,1
gestureclass,6.6486,9.982,1
gestureclass,6.6816,16.660,1
gestureclass,6.7034,9.845,1
gestureclass,6.7046,17.843,1
gestureclass,6.8390,9.679,1
gestureclass,6.8452,12.884,1
gestureclass,6.8937,11.867,1
gestureclass,6.9128,15.649,1
gestureclass,7.0777,10.316,1
gestureclass,7.0851,12.230,1
gestureclass,7.2214,10.129,1
gestureclass,7.4277,10.497,1
gestureclass,7.4433,9.666,1
gestureclass,7.4495,12.703,1
gestureclass,7.5034,9.602,1
gestureclass,7.5180,13.477,1
gestureclass,7.5376,9.664,1
gestureclass,7.6046,10.389,1
gestureclass,7.7111,9.856,1
gestureclass,7.7574,12.156,1
gestureclass,7.8399,15.897,1
gestureclass,7.8451,19.910,1
gestureclass,7.9705,17.809,1
gestureclass,7.9777,19.908,1
gestureclass,7.9832,33.150,1
gestureclass,7.9987,27.000,1
gestureclass,8.0362,9.801,1
gestureclass,8.0455,19.436,1
gestureclass,8.1741,9.815,1
gestureclass,8.1870,9.701,1
gestureclass,8.2939,9.551,1
gestureclass,8.4192,11.372,1
gestureclass,8.4477,9.933,1
gestureclass,8.5600,10.270,1
