task,send_time_s,latency_ms,phase
ecgclass,0.0000,259.047,1
ecgclass,0.1213,162.291,1
ecgclass,0.2384,60.065,1
ecgclass,0.3578,25.988,1
ecgclass,0.3709,28.044,1
ecgclass,0.3751,33.478,1
ecgclass,0.4477,15.891,1
ecgclass,0.5187,16.117,1
ecgclass,0.6749,20.200,1
ecgclass,0.6781,16.984,1
ecgclass,0.7318,18.782,1
ecgclass,0.7341,16.473,1
ecgclass,0.7892,15.153,1
ecgclass,0.8754,15.267,1
ecgclass,0.8947,15.162,1
ecgclass,0.9566,15.776,1
ecgclass,0.9639,23.019,1
ecgclass,0.9681,18.842,1
ecgclass,0.9844,15.370,1
ecgclass,1.0292,15.450,1
ecgclass,1.0498,15.124,1
ecgclass,1.1124,15.446,1
ecgclass,1.1237,15.697,1
ecgclass,1.2156,15.168,1
ecgclass,1.2769,15.749,1
ecgclass,1.3100,15.366,1
ecgclass,1.3304,15.145,1
ecgclass,1.3528,15.930,1
ecgclass,1.3570,21.180,1
ecgclass,1.3672,20.226,1
ecgclass,1.4008,15.599,1
ecgclass,1.4194,15.187,1
ecgclass,1.4832,15.680,1
ecgclass,1.5180,15.013,1
ecgclass,1.5302,15.528,1
ecgclass,1.5528,15.309,1
ecgclass,1.5853,15.481,1
ecgclass,1.6028,15.177,1
ecgclass,1.6191,15.142,1
ecgclass,1.6623,15.601,1
ecgclass,1.6776,15.166,1
ecgclass,1.7453,15.075,1
ecgclass,1.8138,16.598,1
ecgclass,1.8678,19.665,1
ecgclass,1.8712,16.315,1
ecgclass,1.9281,15.673,1
ecgclass,1.9957,20.986,1
ecgclass,2.0522,15.292,1
ecgclass,2.0665,15.743,1
ecgclass,2.0816,15.336,1
ecgclass,2.0903,21.266,1
ecgclass,2.1080,18.341,1
ecgclass,2.1092,17.115,1
ecgclass,2.1176,18.272,1
ecgclass,2.1843,15.276,1
ecgclass,2.3833,16.372,1
ecgclass,2.4108,15.305,1
ecgclass,2.4251,15.754,1
ecgclass,2.4449,15.139,1
ecgclass,2.4631,15.595,1
ecgclass,2.4693,18.670,1
ecgclass,2.5243,15.504,1
ecgclass,2.5931,15.708,1
ecgclass,2.6685,15.322,1
ecgclass,2.9347,16.032,1
ecgclass,3.0388,15.590,1
ecgclass,3.1210,15.265,1
ecgclass,3.1733,15.706,1
ecgclass,3.2032,16.591,1
ecgclass,3.2054,23.668,1
ecgclass,3.2532,15.585,1
ecgclass,3.2839,17.454,1
ecgclass,3.3592,15.226,1
ecgclass,3.4606,15.422,1
ecgclass,3.4771,18.257,1
ecgclass,3.4804,15.029,1
ecgclass,3.5274,15.369,1
ecgclass,3.6535,32.800,1
ecgclass,3.6964,15.572,1
ecgclass,3.8018,20.843,1
ecgclass,3.8388,15.514,1
ecgclass,3.9054,15.859,1
ecgclass,3.9198,17.037,1
ecgclass,3.9263,19.889,1
ecgclass,3.9335,27.426,1
ecgclass,3.9389,22.098,1
ecgclass,3.9423,33.637,1
ecgclass,4.0274,21.939,1
ecgclass,4.0504,15.469,1
ecgclass,4.0690,15.780,1
ecgclass,4.1159,19.800,1
ecgclass,4.1254,19.669,1
ecgclass,4.2216,15.458,1
ecgclass,4.2860,15.167,1
ecgclass,4.3022,15.077,1
ecgclass,4.3124,15.231,1
ecgclass,4.3388,15.327,1
ecgclass,4.3540,20.193,1
ecgclass,4.3582,15.949,1
ecgclass,4.3843,15.325,1
ecgclass,4.4960,15.298,1
ecgclass,4.5474,15.712,1
ecgclass,4.7004,16.077,1
ecgclass,4.8026,16.222,1
ecgclass,4.8589,15.729,1
ecgclass,4.9508,15.398,1
ecgclass,4.9885,15.629,1
ecgclass,5.0412,15.740,1
ecgclass,5.0600,15.064,1
ecgclass,5.0712,15.300,1
ecgclass,5.1786,15.466,1
ecgclass,5.1849,23.930,1
ecgclass,5.1940,24.652,1
ecgclass,5.2099,18.105,1
ecgclass,5.2584,15.341,1
ecgclass,5.2788,15.262,1
ecgclass,5.3133,15.117,1
ecgclass,5.4216,15.443,1
ecgclass,5.4982,15.899,1
ecgclass,5.5565,16.328,1
ecgclass,5.5654,16.824,1
ecgclass,5.6249,15.291,1
ecgclass,5.6472,15.429,1
ecgclass,5.6535,18.401,1
ecgclass,5.6740,19.644,1
ecgclass,5.6772,16.412,1
ecgclass,5.7232,15.399,1
ecgclass,5.7719,20.344,1
ecgclass,5.7866,29.997,1
ecgclass,5.7888,37.105,1
ecgclass,5.9251,17.207,1
ecgclass,5.9658,15.437,1
ecgclass,6.0398,15.277,1
ecgclass,6.0571,17.368,1
ecgclass,6.1410,15.030,1
ecgclass,6.2243,20.583,1
ecgclass,6.2285,16.308,1
ecgclass,6.4999,22.151,1
ecgclass,6.5332,15.461,1
ecgclass,6.6033,15.515,1
ecgclass,6.6156,15.785,1
ecgclass,6.6647,15.748,1
ecgclass,6.6799,18.158,1
ecgclass,6.7596,15.739,1
ecgclass,6.7824,15.203,1
ecgclass,6.8217,15.522,1
ecgclass,6.8477,22.699,1
ecgclass,6.8855,15.446,1
ecgclass,6.9090,19.249,1
ecgclass,6.9404,17.452,1
ecgclass,6.9416,16.233,1
ecgclass,7.0210,16.215,1
ecgclass,7.1463,15.881,1
ecgclass,7.1763,15.373,1
ecgclass,7.3456,16.217,1
ecgclass,7.3540,17.009,1
ecgclass,7.4934,15.486,1
ecgclass,7.5120,16.587,1
ecgclass,7.5451,17.127,1
ecgclass,7.6672,16.190,1
ecgclass,7.6735,19.129,1
ecgclass,7.6832,18.652,1
ecgclass,7.7494,15.449,1
ecgclass,7.7992,15.503,1
ecgclass,7.8135,14.876,1
ecgclass,7.8355,20.360,1
ecgclass,7.8733,15.392,1
ecgclass,7.9678,20.237,1
ecgclass,7.9858,26.291,1
ecgclass,8.0237,15.206,1
ecgclass,8.0420,24.438,1
ecgclass,8.0568,19.079,1
ecgclass,8.1640,16.196,1
ecgclass,8.1916,16.051,1
ecgclass,8.2588,15.980,1
ecgclass,8.2742,15.349,1
ecgclass,8.2828,15.936,1
ecgclass,8.3404,15.587,1
ecgclass,8.4111,15.938,1
ecgclass,8.4590,15.431,1
ecgclass,8.5175,15.761,1
ecgclass,8.5686,16.424,1
ecgclass,8.6232,15.725,1
ecgclass,8.7376,16.013,1
ecgclass,8.8775,15.637,1
ecgclass,8.9102,15.139,1
ecgclass,8.9155,19.099,1
ecgclass,8.9857,15.919,1
ecgclass,9.0279,15.620,1
ecgclass,9.1511,21.241,1
ecgclass,9.2018,15.092,1
ecgclass,9.2090,17.163,1
ecgclass,9.2616,15.072,1
ecgclass,9.2899,14.955,1
ecgclass,9.2951,19.073,1
ecgclass,9.3090,15.694,1
ecgclass,9.4836,15.472,1
ecgclass,9.5031,15.144,1
ecgclass,9.5173,15.681,1
ecgclass,9.5381,15.169,1
ecgclass,9.6414,16.242,1
ecgclass,9.6958,19.849,1
ecgclass,9.7061,24.333,1
ecgclass,9.7061,33.911,1
ecgclass,9.7297,19.772,1
ecgclass,9.7355,23.487,1
ecgclass,9.8392,22.270,1
ecgclass,9.8446,16.873,1
ecgclass,9.8798,15.399,1
ecgclass,9.9298,15.210,1
ecgclass,10.0735,15.259,1
ecgclass,10.0879,15.432,1
ecgclass,10.1745,17.926,1
ecgclass,10.2126,16.520,1
ecgclass,10.2988,16.252,1
ecgclass,10.3172,15.230,1
ecgclass,10.3335,15.074,1
ecgclass,10.3477,15.622,1
ecgclass,10.3987,15.751,1
ecgclass,10.4308,19.096,1
ecgclass,10.4742,15.618,1
ecgclass,10.5389,14.913,1
ecgclass,10.5959,16.755,1
ecgclass,10.6481,15.216,1
ecgclass,10.7184,17.957,1
ecgclass,10.7198,16.581,1
ecgclass,10.7958,16.625,1
ecgclass,10.8609,15.075,1
ecgclass,10.8821,18.277,1
ecgclass,10.8942,15.475,1
ecgclass,10.9298,18.501,1
ecgclass,11.0318,15.006,1
ecgclass,11.0479,15.152,1
ecgclass,11.1192,15.964,1
ecgclass,11.2671,21.826,1
ecgclass,11.2876,14.921,1
ecgclass,11.5024,19.337,1
ecgclass,11.5057,16.106,1
ecgclass,11.5080,23.137,1
ecgclass,11.6003,19.301,1
ecgclass,11.6329,16.649,1
ecgclass,11.6636,19.591,1
ecgclass,11.7608,15.934,1
ecgclass,11.8843,15.657,1
ecgclass,11.9262,15.756,1
ecgclass,12.0311,16.312,1
ecgclass,12.0828,15.009,1
ecgclass,12.1079,15.261,1
ecgclass,12.1192,15.450,1
ecgclass,12.1877,16.040,1
ecgclass,12.2954,16.189,1
ecgclass,12.4298,16.112,1
ecgclass,12.4442,15.336,1
ecgclass,12.4946,15.667,1
ecgclass,12.5203,15.267,1
ecgclass,12.6062,15.568,1
ecgclass,12.6175,18.910,1
ecgclass,12.6197,16.686,1
ecgclass,12.6384,19.295,1
ecgclass,12.6417,16.086,1
ecgclass,12.6651,26.358,1
ecgclass,12.6900,25.883,1
ecgclass,12.6955,20.383,1
ecgclass,12.8511,20.243,1
ecgclass,12.8648,16.010,1
ecgclass,12.9254,15.677,1
ecgclass,12.9357,14.691,1
ecgclass,12.9596,14.867,1
ecgclass,12.9648,18.861,1
ecgclass,12.9700,28.392,1
ecgclass,12.9712,27.216,1
ecgclass,13.0513,15.141,1
ecgclass,13.0695,15.269,1
ecgclass,13.1052,15.457,1
ecgclass,13.1477,15.784,1
ecgclass,13.1562,21.828,1
ecgclass,13.3028,15.624,1
ecgclass,13.3305,19.458,1
ecgclass,13.3338,16.218,1
ecgclass,13.3400,19.354,1
ecgclass,13.3644,18.178,1
ecgclass,13.3706,21.285,1
ecgclass,13.3867,19.925,1
ecgclass,13.4240,16.682,1
ecgclass,13.4262,23.876,1
ecgclass,13.4448,15.815,1
ecgclass,13.5234,19.970,1
ecgclass,13.5267,16.711,1
ecgclass,13.5755,18.864,1
