task,send_time_s,latency_ms,phase
ecgclass,0.0000,253.051,1
ecgclass,0.0646,207.481,1
ecgclass,0.0801,210.820,1
ecgclass,0.1335,176.331,1
ecgclass,0.2678,51.535,1
ecgclass,0.3084,20.460,1
ecgclass,0.3628,9.900,1
ecgclass,0.4148,10.518,1
ecgclass,0.4557,10.115,1
ecgclass,0.5421,10.615,1
ecgclass,0.5588,10.094,1
ecgclass,0.5960,19.534,1
ecgclass,0.6758,9.782,1
ecgclass,0.7672,17.807,1
ecgclass,0.8568,10.558,1
ecgclass,0.8672,18.886,1
ecgclass,0.9030,9.684,1
ecgclass,0.9360,15.133,1
ecgclass,0.9470,22.747,1
ecgclass,0.9842,9.862,1
ecgclass,1.0475,10.522,1
ecgclass,1.0641,9.844,1
ecgclass,1.0861,9.871,1
ecgclass,1.2545,10.226,1
ecgclass,1.3086,10.237,1
ecgclass,1.3139,14.174,1
ecgclass,1.3783,20.243,1
ecgclass,1.4006,16.514,1
ecgclass,1.4372,10.075,1
ecgclass,1.5205,9.898,1
ecgclass,1.5548,9.992,1
ecgclass,1.6022,10.182,1
ecgclass,1.6265,9.992,1
ecgclass,1.8809,11.148,1
ecgclass,1.9064,10.933,1
ecgclass,1.9172,9.678,1
ecgclass,1.9245,11.729,1
ecgclass,1.9707,10.000,1
ecgclass,1.9828,9.871,1
ecgclass,2.0118,10.146,1
ecgclass,2.0967,9.848,1
ecgclass,2.1955,9.862,1
ecgclass,2.2335,10.402,1
ecgclass,2.2492,15.847,1
ecgclass,2.2871,10.111,1
ecgclass,2.2954,11.184,1
ecgclass,2.3107,10.196,1
ecgclass,2.3150,15.275,1
ecgclass,2.3280,11.622,1
ecgclass,2.3747,10.354,1
ecgclass,2.3781,16.323,1
ecgclass,2.4600,13.207,1
ecgclass,2.4874,10.037,1
ecgclass,2.5385,10.396,1
ecgclass,2.6674,10.005,1
ecgclass,2.7206,10.025,1
ecgclass,2.7259,14.050,1
ecgclass,2.8003,10.291,1
ecgclass,2.8016,18.299,1
ecgclass,2.8370,10.064,1
ecgclass,2.8433,13.037,1
ecgclass,2.8501,28.774,1
ecgclass,2.8687,20.200,1
ecgclass,2.8788,19.615,1
ecgclass,2.9542,10.451,1
ecgclass,2.9565,17.450,1
ecgclass,2.9577,25.984,1
ecgclass,3.1154,9.903,1
