task,send_time_s,latency_ms,phase
gestureclass,0.0001,494.652,1
gestureclass,0.0126,482.203,1
gestureclass,0.1439,350.924,1
gestureclass,0.2097,338.509,1
gestureclass,0.2699,278.295,1
gestureclass,0.3584,189.832,1
gestureclass,0.3749,173.357,1
gestureclass,0.4164,131.844,1
gestureclass,0.5050,226.526,1
gestureclass,0.5195,212.025,1
gestureclass,0.5337,197.821,1
gestureclass,0.6063,125.166,1
gestureclass,0.6763,55.244,1
gestureclass,0.6786,168.480,1
gestureclass,0.7456,102.805,1
gestureclass,0.7470,101.699,1
gestureclass,0.7572,91.494,1
gestureclass,0.7945,54.180,1
gestureclass,0.8344,312.124,1
gestureclass,0.8788,267.842,1
gestureclass,0.8884,258.500,1
gestureclass,1.0087,138.212,1
gestureclass,1.0241,122.781,1
gestureclass,1.1444,178.242,1
gestureclass,1.1921,130.556,1
gestureclass,1.2229,99.978,1
gestureclass,1.2401,82.864,1
gestureclass,1.3090,187.101,1
gestureclass,1.3251,171.022,1
gestureclass,1.4211,75.405,1
gestureclass,1.4657,179.586,1
gestureclass,1.4832,162.454,1
gestureclass,1.4864,159.249,1
gestureclass,1.5159,129.820,1
gestureclass,1.5914,54.255,1
gestureclass,1.6018,400.630,1
gestureclass,1.6453,357.189,1
gestureclass,1.7239,278.667,1
gestureclass,1.7343,268.310,1
gestureclass,1.7736,229.169,1
gestureclass,1.9434,59.510,1
gestureclass,1.9541,200.722,1
gestureclass,1.9683,186.520,1
gestureclass,2.0747,80.379,1
gestureclass,2.1035,254.479,1
gestureclass,2.2325,125.856,1
gestureclass,2.2718,86.549,1
gestureclass,2.3106,254.201,1
gestureclass,2.3575,207.549,1
gestureclass,2.4430,122.144,1
gestureclass,2.5112,53.910,1
gestureclass,2.7422,62.240,1
gestureclass,2.7718,215.808,1
gestureclass,2.8156,172.042,1
gestureclass,2.8463,141.667,1
gestureclass,2.9341,53.877,1
gestureclass,2.9394,312.526,1
gestureclass,2.9901,261.866,1
gestureclass,3.1098,142.236,1
gestureclass,3.1382,113.845,1
gestureclass,3.1977,54.295,1
gestureclass,3.2684,131.493,1
gestureclass,3.3136,86.406,1
gestureclass,3.3280,72.128,1
gestureclass,3.3392,60.884,1
gestureclass,3.3656,204.852,1
gestureclass,3.4506,119.918,1
gestureclass,3.5133,57.419,1
gestureclass,3.5644,92.906,1
gestureclass,3.5738,83.591,1
gestureclass,3.5902,67.194,1
gestureclass,3.6036,53.790,1
gestureclass,3.6645,119.372,1
gestureclass,3.6708,113.058,1
gestureclass,3.6823,101.634,1
gestureclass,3.7160,67.988,1
gestureclass,3.7725,256.706,1
gestureclass,3.8621,167.318,1
gestureclass,3.8989,130.853,1
gestureclass,3.9434,86.353,1
gestureclass,3.9457,84.084,1
gestureclass,4.0032,151.114,1
gestureclass,4.0118,142.595,1
gestureclass,4.0338,120.586,1
gestureclass,4.1001,54.505,1
gestureclass,4.1386,293.828,1
gestureclass,4.2618,170.739,1
gestureclass,4.2783,154.352,1
gestureclass,4.3530,79.691,1
gestureclass,4.3785,54.569,1
gestureclass,4.4242,234.444,1
gestureclass,4.4632,195.564,1
gestureclass,4.4634,195.324,1
gestureclass,4.5649,93.983,1
gestureclass,4.6053,53.608,1
gestureclass,4.6119,177.914,1
gestureclass,4.7133,76.609,1
gestureclass,4.7360,188.388,1
gestureclass,4.7571,167.216,1
gestureclass,4.7584,166.007,1
gestureclass,4.8050,119.429,1
gestureclass,4.8709,53.564,1
gestureclass,4.8781,168.076,1
gestureclass,4.8794,166.819,1
gestureclass,4.8968,149.465,1
gestureclass,4.9436,102.870,1
gestureclass,4.9919,54.569,1
gestureclass,5.0002,333.699,1
gestureclass,5.0615,272.417,1
gestureclass,5.1854,148.566,1
gestureclass,5.2609,73.116,1
gestureclass,5.3505,182.327,1
gestureclass,5.3517,181.138,1
gestureclass,5.3579,174.969,1
gestureclass,5.4790,53.993,1
gestureclass,5.5174,151.385,1
gestureclass,5.5703,98.597,1
gestureclass,5.6626,313.156,1
gestureclass,5.6963,279.483,1
gestureclass,5.7946,181.184,1
gestureclass,5.8221,153.757,1
gestureclass,5.8663,109.472,1
gestureclass,5.9221,53.820,1
gestureclass,6.0140,121.840,1
gestureclass,6.0303,105.485,1
gestureclass,6.0538,82.254,1
gestureclass,6.1237,196.744,1
gestureclass,6.1502,170.311,1
gestureclass,6.1796,140.897,1
gestureclass,6.2626,57.967,1
gestureclass,6.2880,306.866,1
gestureclass,6.2902,304.626,1
gestureclass,6.4338,161.020,1
gestureclass,6.4696,125.318,1
gestureclass,6.4778,117.345,1
gestureclass,6.5411,54.112,1
gestureclass,6.5635,231.974,1
gestureclass,6.6833,112.571,1
gestureclass,6.7318,64.119,1
gestureclass,6.7318,64.384,1
gestureclass,6.7624,239.784,1
gestureclass,6.7647,237.530,1
gestureclass,6.8145,187.733,1
gestureclass,6.8458,156.497,1
gestureclass,6.8881,114.192,1
gestureclass,6.9484,53.885,1
gestureclass,7.0064,229.312,1
gestureclass,7.0437,192.029,1
gestureclass,7.0670,168.713,1
gestureclass,7.0833,152.492,1
gestureclass,7.1456,90.206,1
gestureclass,7.1824,53.517,1
gestureclass,7.2550,219.183,1
gestureclass,7.2774,196.841,1
gestureclass,7.3229,151.343,1
gestureclass,7.3655,108.883,1
gestureclass,7.4038,70.789,1
gestureclass,7.4211,53.563,1
gestureclass,7.4333,225.324,1
gestureclass,7.4650,193.851,1
gestureclass,7.6054,53.531,1
gestureclass,7.6128,149.845,1
gestureclass,7.6270,135.630,1
gestureclass,7.6282,134.414,1
gestureclass,7.6366,126.046,1
gestureclass,7.7073,55.368,1
gestureclass,7.7818,245.769,1
gestureclass,7.9009,126.785,1
gestureclass,7.9202,107.501,1
gestureclass,8.0532,210.325,1
gestureclass,8.0847,178.945,1
gestureclass,8.1129,150.736,1
gestureclass,8.1422,121.448,1
gestureclass,8.2026,61.101,1
gestureclass,8.2534,233.336,1
gestureclass,8.3031,183.670,1
gestureclass,8.4228,64.060,1
gestureclass,8.4953,201.578,1
gestureclass,8.5305,166.331,1
gestureclass,8.5708,126.034,1
gestureclass,8.5992,97.700,1
gestureclass,8.6430,53.916,1
gestureclass,8.6653,195.827,1
gestureclass,8.7704,90.719,1
gestureclass,8.7898,71.388,1
gestureclass,8.7940,67.125,1
gestureclass,8.8107,157.439,1
gestureclass,8.8642,104.048,1
gestureclass,8.9043,64.179,1
gestureclass,8.9145,53.941,1
gestureclass,8.9825,173.801,1
gestureclass,9.0028,153.489,1
gestureclass,9.0919,64.493,1
gestureclass,9.1407,206.060,1
gestureclass,9.1595,187.405,1
gestureclass,9.1947,152.196,1
gestureclass,9.2010,145.909,1
gestureclass,9.2223,124.868,1
gestureclass,9.2415,105.630,1
gestureclass,9.3695,142.659,1
gestureclass,9.4139,98.304,1
gestureclass,9.4383,74.031,1
gestureclass,9.4588,53.564,1
gestureclass,9.5021,250.076,1
gestureclass,9.5205,231.800,1
gestureclass,9.6635,88.742,1
gestureclass,9.8855,111.586,1
gestureclass,9.9187,78.301,1
gestureclass,9.9380,59.004,1
gestureclass,9.9433,53.766,1
gestureclass,9.9587,223.112,1
gestureclass,10.0452,136.693,1
gestureclass,10.0746,107.287,1
gestureclass,10.0909,91.769,1
gestureclass,10.1051,77.621,1
gestureclass,10.1668,162.679,1
gestureclass,10.1751,154.380,1
gestureclass,10.2038,125.692,1
gestureclass,10.2618,67.827,1
gestureclass,10.2863,204.612,1
gestureclass,10.2986,192.385,1
gestureclass,10.3128,178.152,1
gestureclass,10.3240,166.935,1
gestureclass,10.4088,82.300,1
gestureclass,10.4112,79.947,1
gestureclass,10.4376,53.621,1
gestureclass,10.4852,185.771,1
gestureclass,10.5307,140.354,1
gestureclass,10.6744,270.361,1
gestureclass,10.6896,255.904,1
gestureclass,10.8635,82.004,1
gestureclass,10.9072,148.406,1
gestureclass,10.9195,136.423,1
gestureclass,10.9846,72.067,1
gestureclass,10.9900,66.943,1
gestureclass,10.9913,65.842,1
