task,send_time_s,latency_ms,phase
ecgclass,0.0000,310.802,1
ecgclass,0.0105,300.537,1
ecgclass,0.0328,278.277,1
ecgclass,0.0401,270.996,1
ecgclass,0.1387,259.894,1
ecgclass,0.3014,97.263,1
ecgclass,0.3152,83.467,1
ecgclass,0.3444,54.291,1
ecgclass,0.3857,72.516,1
ecgclass,0.3998,58.479,1
ecgclass,0.4787,69.679,1
ecgclass,0.4899,58.433,1
ecgclass,0.4951,53.220,1
ecgclass,0.5073,41.031,1
ecgclass,0.5747,35.701,1
ecgclass,0.6050,66.883,1
ecgclass,0.7170,61.507,1
ecgclass,0.7996,66.880,1
ecgclass,0.9133,64.784,1
ecgclass,0.9507,27.479,1
ecgclass,1.0223,61.733,1
ecgclass,1.1547,66.962,1
ecgclass,1.1749,47.060,1
ecgclass,1.2678,46.440,1
ecgclass,1.3358,66.638,1
ecgclass,1.3898,76.048,1
ecgclass,1.4136,52.202,1
ecgclass,1.5000,63.014,1
ecgclass,1.5671,72.118,1
ecgclass,1.6873,67.170,1
ecgclass,1.8472,72.519,1
ecgclass,1.8615,58.288,1
ecgclass,1.9103,74.854,1
ecgclass,1.9472,38.115,1
ecgclass,1.9634,78.060,1
ecgclass,1.9749,66.555,1
ecgclass,1.9904,51.107,1
ecgclass,2.0726,61.231,1
ecgclass,2.2070,72.296,1
ecgclass,2.2306,48.700,1
ecgclass,2.3324,78.583,1
ecgclass,2.3411,69.929,1
ecgclass,2.3846,66.599,1
ecgclass,2.4573,56.634,1
ecgclass,2.4615,52.410,1
ecgclass,2.6273,46.900,1
ecgclass,2.7674,36.745,1
ecgclass,2.8413,61.339,1
ecgclass,2.9570,50.659,1
ecgclass,3.0188,52.290,1
ecgclass,3.1161,41.713,1
ecgclass,3.1303,65.511,1
ecgclass,3.1739,21.945,1
ecgclass,3.1999,60.602,1
ecgclass,3.2552,67.013,1
ecgclass,3.2956,26.586,1
ecgclass,3.3069,66.164,1
ecgclass,3.3608,79.811,1
ecgclass,3.4079,79.095,1
ecgclass,3.4231,63.887,1
ecgclass,3.4365,50.473,1
ecgclass,3.5301,72.505,1
ecgclass,3.5415,61.177,1
ecgclass,3.6168,63.567,1
ecgclass,3.6759,60.159,1
ecgclass,3.6926,43.453,1
ecgclass,3.7269,66.448,1
ecgclass,3.8257,62.655,1
ecgclass,3.8775,61.682,1
ecgclass,3.9165,22.740,1
ecgclass,3.9463,60.802,1
ecgclass,3.9996,71.913,1
ecgclass,4.0254,46.093,1
ecgclass,4.1501,63.902,1
ecgclass,4.1643,49.687,1
ecgclass,4.2864,21.363,1
ecgclass,4.3449,70.398,1
ecgclass,4.3473,68.049,1
ecgclass,4.5178,72.207,1
ecgclass,4.5241,65.879,1
ecgclass,4.5253,64.666,1
ecgclass,4.6244,48.854,1
ecgclass,4.6319,41.373,1
ecgclass,4.6511,72.299,1
ecgclass,4.7019,66.105,1
ecgclass,4.7395,28.526,1
ecgclass,4.8246,72.208,1
ecgclass,4.8369,59.919,1
ecgclass,4.8486,48.241,1
ecgclass,4.9282,60.399,1
ecgclass,4.9455,43.208,1
ecgclass,4.9908,66.255,1
ecgclass,5.0671,60.935,1
ecgclass,5.3040,44.689,1
ecgclass,5.3083,40.420,1
ecgclass,5.4219,67.449,1
ecgclass,5.4776,76.062,1
ecgclass,5.5908,72.268,1
ecgclass,5.5982,65.004,1
ecgclass,5.6124,50.784,1
ecgclass,5.6568,84.503,1
ecgclass,5.7036,37.690,1
ecgclass,5.7248,72.844,1
ecgclass,5.7744,23.260,1
ecgclass,5.7768,72.019,1
ecgclass,5.9034,24.956,1
ecgclass,5.9207,73.861,1
ecgclass,6.0595,72.979,1
ecgclass,6.0900,42.495,1
ecgclass,6.1113,78.862,1
ecgclass,6.1520,38.092,1
ecgclass,6.2506,43.743,1
ecgclass,6.2519,42.433,1
ecgclass,6.2591,35.270,1
ecgclass,6.2893,79.237,1
ecgclass,6.3267,41.785,1
ecgclass,6.3726,72.384,1
ecgclass,6.3799,65.085,1
ecgclass,6.4091,35.883,1
ecgclass,6.4404,67.024,1
ecgclass,6.5439,34.104,1
ecgclass,6.6102,28.185,1
ecgclass,6.6245,61.382,1
ecgclass,6.6795,79.148,1
ecgclass,6.7143,44.443,1
ecgclass,6.7377,84.471,1
ecgclass,6.7903,73.836,1
ecgclass,6.8197,44.462,1
ecgclass,6.9357,61.083,1
ecgclass,6.9931,70.048,1
ecgclass,7.0199,43.270,1
ecgclass,7.0632,49.697,1
ecgclass,7.1014,81.117,1
ecgclass,7.1380,44.533,1
ecgclass,7.1393,43.247,1
ecgclass,7.1739,67.381,1
ecgclass,7.2216,83.954,1
ecgclass,7.2564,49.197,1
ecgclass,7.2759,73.558,1
ecgclass,7.4041,59.641,1
ecgclass,7.4093,54.421,1
ecgclass,7.4296,34.204,1
ecgclass,7.4529,66.189,1
ecgclass,7.7669,72.008,1
ecgclass,7.7682,70.766,1
ecgclass,7.7999,39.082,1
ecgclass,7.9088,66.715,1
ecgclass,7.9371,38.429,1
