task,send_time_s,latency_ms,phase
ecgclass,0.0001,265.113,1
ecgclass,0.0148,250.357,1
ecgclass,0.0383,254.711,1
ecgclass,0.0496,259.291,1
ecgclass,0.0671,241.740,1
ecgclass,0.1918,186.088,1
ecgclass,0.2803,97.625,1
ecgclass,0.2961,101.641,1
ecgclass,0.3701,27.603,1
ecgclass,0.3940,36.506,1
ecgclass,0.4273,18.506,1
ecgclass,0.4326,42.189,1
ecgclass,0.4398,35.004,1
ecgclass,0.4469,27.943,1
ecgclass,0.7106,37.243,1
ecgclass,0.7190,28.821,1
ecgclass,0.8039,36.864,1
ecgclass,0.8093,31.458,1
ecgclass,0.8166,50.354,1
ecgclass,0.8218,45.148,1
ecgclass,0.8690,15.175,1
ecgclass,0.9250,36.190,1
ecgclass,0.9313,29.917,1
ecgclass,0.9570,30.296,1
ecgclass,1.1080,24.880,1
ecgclass,1.1500,30.773,1
ecgclass,1.2114,36.248,1
ecgclass,1.2280,19.730,1
ecgclass,1.2381,41.766,1
ecgclass,1.2405,39.451,1
ecgclass,1.2570,37.817,1
ecgclass,1.2979,30.565,1
ecgclass,1.4016,37.395,1
ecgclass,1.4081,30.953,1
ecgclass,1.4283,30.877,1
ecgclass,1.5708,20.446,1
ecgclass,1.5862,36.731,1
ecgclass,1.6143,36.449,1
ecgclass,1.6290,21.753,1
ecgclass,1.6392,30.771,1
ecgclass,1.6751,42.675,1
ecgclass,1.6774,40.407,1
ecgclass,1.6886,29.202,1
ecgclass,1.7875,31.021,1
ecgclass,1.8675,23.461,1
ecgclass,1.9610,27.515,1
ecgclass,1.9875,32.987,1
ecgclass,2.0136,30.556,1
ecgclass,2.0736,21.018,1
ecgclass,2.2776,36.418,1
ecgclass,2.2889,25.157,1
ecgclass,2.4132,30.900,1
ecgclass,2.4405,30.234,1
ecgclass,2.6420,36.669,1
ecgclass,2.6585,20.184,1
ecgclass,2.7115,30.708,1
ecgclass,2.7330,41.266,1
ecgclass,2.7588,46.811,1
ecgclass,2.8234,30.190,1
ecgclass,2.9470,30.774,1
ecgclass,2.9911,34.951,1
ecgclass,3.0255,36.442,1
ecgclass,3.0421,19.845,1
ecgclass,3.1364,26.830,1
ecgclass,3.2490,30.631,1
ecgclass,3.3697,14.703,1
ecgclass,3.3770,45.163,1
ecgclass,3.3916,30.570,1
ecgclass,3.4691,30.694,1
ecgclass,3.5568,31.077,1
ecgclass,3.5790,41.438,1
ecgclass,3.5971,23.289,1
ecgclass,3.6074,30.227,1
ecgclass,3.6305,30.722,1
ecgclass,3.6856,35.935,1
ecgclass,3.7008,20.685,1
ecgclass,3.7151,36.048,1
ecgclass,3.7672,31.040,1
ecgclass,3.8936,31.043,1
ecgclass,4.0035,35.656,1
ecgclass,4.0108,28.432,1
ecgclass,4.0586,20.742,1
ecgclass,4.0658,30.438,1
ecgclass,4.0983,30.493,1
ecgclass,4.1409,36.234,1
ecgclass,4.1552,21.942,1
ecgclass,4.1695,41.620,1
ecgclass,4.1812,29.873,1
ecgclass,4.2262,31.171,1
ecgclass,4.2951,30.533,1
ecgclass,4.3608,36.423,1
ecgclass,4.3751,22.121,1
