task,send_time_s,latency_ms,phase
ecgclass,0.0001,257.712,1
ecgclass,0.1092,202.106,1
ecgclass,0.1285,182.796,1
ecgclass,0.3224,31.262,1
ecgclass,0.3888,31.450,1
ecgclass,0.4132,30.773,1
ecgclass,0.4510,30.935,1
ecgclass,0.5101,36.179,1
ecgclass,0.5831,36.814,1
ecgclass,0.6136,36.334,1
ecgclass,0.6311,18.872,1
ecgclass,0.7069,38.573,1
ecgclass,0.7092,36.385,1
ecgclass,0.7133,32.195,1
ecgclass,0.8119,42.367,1
ecgclass,0.8264,27.893,1
ecgclass,0.8764,36.894,1
ecgclass,0.8867,26.575,1
ecgclass,0.9861,37.311,1
ecgclass,1.0286,37.037,1
ecgclass,1.0309,34.696,1
ecgclass,1.0807,18.839,1
ecgclass,1.1067,36.314,1
ecgclass,1.1219,21.063,1
ecgclass,1.2257,47.798,1
ecgclass,1.2352,38.414,1
ecgclass,1.2486,34.836,1
ecgclass,1.2757,35.986,1
ecgclass,1.2997,30.226,1
ecgclass,1.4044,36.552,1
ecgclass,1.4994,24.437,1
ecgclass,1.5197,31.048,1
ecgclass,1.5888,37.100,1
ecgclass,1.6012,24.734,1
ecgclass,1.6400,48.050,1
ecgclass,1.6740,36.008,1
ecgclass,1.6974,35.503,1
ecgclass,1.7350,41.886,1
ecgclass,1.7951,32.445,1
ecgclass,1.8163,42.046,1
ecgclass,1.8196,38.782,1
ecgclass,1.8498,31.173,1
ecgclass,1.9959,36.671,1
ecgclass,2.0032,29.440,1
ecgclass,2.0347,30.453,1
ecgclass,2.0549,35.780,1
ecgclass,2.0732,17.499,1
ecgclass,2.1723,36.342,1
ecgclass,2.2118,29.909,1
ecgclass,2.2995,36.115,1
ecgclass,2.3200,35.904,1
ecgclass,2.3253,30.651,1
ecgclass,2.3843,36.608,1
ecgclass,2.3866,34.362,1
ecgclass,2.5638,32.060,1
ecgclass,2.6835,36.453,1
ecgclass,2.7756,47.648,1
ecgclass,2.7863,36.947,1
ecgclass,2.7927,30.538,1
ecgclass,2.8613,31.290,1
ecgclass,2.9157,36.528,1
ecgclass,2.9301,22.188,1
ecgclass,2.9453,30.631,1
ecgclass,2.9753,30.751,1
ecgclass,3.0031,35.766,1
ecgclass,3.0132,25.659,1
