predict_type,exec_time_seconds,style_type,prompt_length,negative_prompt_length,num_images_per_prompt,num_inference_steps,checkpoint_model_version_id,lora_args
e867a9754d73155e90d62f88dbedfc62,22.0,88585aaa7d5402c0928a0c8639c83bab,54.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,18.0,,54.0,50.0,1.0,30.0,f9c95dd7e904711eef0f713598886b04,[]
e867a9754d73155e90d62f88dbedfc62,28.0,,14.0,,1.0,30.0,f9c4915ff864089286f00a0da73721b7,"[{'modelVersionId': '799974951f19a0c730acda2389cc852b', 'scale': 1.0}]"
e867a9754d73155e90d62f88dbedfc62,21.0,,61.0,50.0,1.0,30.0,5ea2fb33fc16c8e4cbbb2aa91f6900dd,[]
e867a9754d73155e90d62f88dbedfc62,18.0,,61.0,50.0,1.0,30.0,5ea2fb33fc16c8e4cbbb2aa91f6900dd,[]
e867a9754d73155e90d62f88dbedfc62,32.0,88585aaa7d5402c0928a0c8639c83bab,54.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,24.0,88585aaa7d5402c0928a0c8639c83bab,44.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,29.0,,33.0,,1.0,30.0,f9c4915ff864089286f00a0da73721b7,"[{'modelVersionId': '9232965e399095e0ef458a3325ba5382', 'scale': 0.8}]"
e867a9754d73155e90d62f88dbedfc62,33.0,,33.0,,1.0,30.0,f9c4915ff864089286f00a0da73721b7,"[{'modelVersionId': '9232965e399095e0ef458a3325ba5382', 'scale': 0.8}]"
e867a9754d73155e90d62f88dbedfc62,28.0,659b3aca8434712ef2808aa672f18eb5,58.0,26.0,1.0,30.0,ddd2e8c220072a5951b37078518ba809,[]
e867a9754d73155e90d62f88dbedfc62,49.0,659b3aca8434712ef2808aa672f18eb5,58.0,26.0,8.0,30.0,ddd2e8c220072a5951b37078518ba809,[]
e867a9754d73155e90d62f88dbedfc62,23.0,,37.0,26.0,1.0,30.0,4da23763f5721d525703525dd45c9ef7,[]
e867a9754d73155e90d62f88dbedfc62,50.0,,37.0,26.0,1.0,30.0,4da23763f5721d525703525dd45c9ef7,[]
e867a9754d73155e90d62f88dbedfc62,28.0,,28.0,,1.0,20.0,f9c95dd7e904711eef0f713598886b04,[]
e867a9754d73155e90d62f88dbedfc62,39.0,659b3aca8434712ef2808aa672f18eb5,46.0,26.0,4.0,30.0,ddd2e8c220072a5951b37078518ba809,[]
