model_name,dataset_name,device,model_load_duration_sec,gpu_load_memory_mb,avg_cpu_memory_usage_mb,avg_cpu_usage_percent,avg_gpu_usage_percent,avg_gpu_memory_usage_mb,total_prompt_tokens,total_generated_tokens,ttft_ms,avg_latency_ms,throughput_tps,accuracy,total_time,num_samples,gpu_name
vikhyatk/moondream2,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/image_classification,cuda:0,1.693634033203125,5475.9375,1062.468515625,25.062999999999988,92.38,900.6,1900,108,0,149.47360754013062,7.109581849361153,0.05,15.19076681137085,100,
vikhyatk/moondream2,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/image_classification,cuda:0,1.6601243019104004,5475.9375,1058.4025,24.905999999999995,92.26,900.6,1900,108,0,149.45860862731934,7.112660240019025,0.38,15.184192180633545,100,
vikhyatk/moondream2,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/image_classification,cuda:0,1.6547586917877197,5475.9375,1030.4519140625,24.983,92.36,900.6,1900,108,0,149.03261184692383,7.1358361181616825,0.38,15.134876728057861,100,NVIDIA RTX A6000
llava-hf/llava-1.5-7b-hf,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/image_classification,cuda:0,23.143328428268433,15251.9375,1185.8138671875,23.333000000000002,95.65,674.0,62200,261,0,194.3431544303894,13.266640493234277,0.19,19.673405647277832,100,NVIDIA RTX A6000
llava-hf/llava-1.5-13b-hf,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/image_classification,cuda:0,20.509609699249268,27243.9375,1228.0980078125,22.064000000000007,98.54,1054.0,62200,269,0,341.24958753585815,7.8271545099176825,0.27,34.367534160614014,100,NVIDIA RTX A6000
llava-hf/llava-v1.6-vicuna-13b-hf,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/image_classification,cuda:0,5.4268457889556885,27243.9375,1250.79265625,21.069000000000003,99.62,4537.96,231016,284,0,990.9547996520996,2.8592406609753187,0.32,99.32707095146179,100,NVIDIA RTX A6000
Qwen/Qwen2.5-VL-3B-Instruct,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/image_classification,cuda:0,2.874918222427368,9651.9375,1183.0247265625,17.900000000000002,66.85,711.54,29935,246,0,129.23285722732544,16.199521568751084,0.3698630136986301,15.185633659362793,100,
Qwen/Qwen2.5-VL-7B-Instruct,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/image_classification,cuda:0,3.9068491458892822,19719.9375,1529.5633984375,23.607999999999997,93.68,1557.5,44211,304,0,240.80711126327515,12.504312687463914,0.41,24.311612129211426,100,NVIDIA RTX A6000
Qwen/Qwen2.5-VL-3B-Instruct,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/image_classification,cuda:0,2.8021416664123535,9651.9375,1156.6403515625,16.982000000000006,65.88,683.82,29648,243,0,128.03901433944702,16.213050675795465,0.3611111111111111,14.98792576789856,100,NVIDIA RTX A6000
Qwen/Qwen2.5-VL-3B-Instruct,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/image_classification,cuda:0,2.808488368988037,9651.9375,1513.946328125,23.182,90.81,1432.26,37698,331,0,163.30005884170532,20.001987412726166,0.37373737373737376,16.54835557937622,100,NVIDIA RTX A6000
Qwen/Qwen2.5-VL-7B-Instruct,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/image_classification,cuda:0,3.8292288780212402,19719.9375,1523.3224609375,22.263,92.95,1027.58,37698,302,0,218.63271474838257,13.672741309057129,0.41414141414141414,22.087743282318115,100,NVIDIA RTX A6000
microsoft/Phi-3.5-vision-instruct,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/image_classification,cuda:0,3.210338830947876,9973.9375,1355.848515625,20.561999999999998,96.46,244.0,80100,382,0,594.0740919113159,6.40603539722261,0.33,59.63126587867737,100,NVIDIA RTX A6000
allenai/Molmo-7B-D-0924,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/image_classification,cuda:0,49.479588985443115,32441.9375,1041.456796875,20.57100000000001,99.9,4281.74,62996,274,0,1097.5331258773804,2.470836092539959,0.3,110.89363670349121,100,NVIDIA RTX A6000
meta-llama/Llama-3.2-11B-Vision-Instruct,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/image_classification,cuda:0,37.237255811691284,23175.9375,1325.850546875,19.215999999999998,89.01,29.74,4300,267,0,105.99677085876465,24.634894416318893,0.0,10.838284730911255,100,NVIDIA RTX A6000
openbmb/MiniCPM-V-2_6,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/image_classification,cuda:0,28.229556560516357,17483.9375,1605.9995703125,22.662999999999997,88.35,754.5,2400,100,0,214.86265182495117,4.46747761307808,0.33,22.38399577140808,100,NVIDIA RTX A6000
