model_name,dataset_name,device,model_load_duration_sec,gpu_load_memory_mb,avg_cpu_memory_usage_mb,avg_cpu_usage_percent,avg_gpu_usage_percent,avg_gpu_memory_usage_mb,total_prompt_tokens,total_generated_tokens,ttft_ms,avg_latency_ms,throughput_tps,accuracy,total_time,num_samples,gpu_name
vikhyatk/moondream2,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/gesture_recognition,cuda:0,1.640199899673462,5475.9375,1041.88875,24.351,93.62,902.76,2900,119,0,191.4222526550293,6.1556284375671755,0.23,19.33190107345581,100,
vikhyatk/moondream2,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/gesture_recognition,cuda:0,1.6635568141937256,5475.9375,1062.0075,22.970000000000006,93.66,902.76,2900,120,0,192.67701864242554,6.166403117615651,0.22,19.460291147232056,100,NVIDIA RTX A6000
llava-hf/llava-1.5-7b-hf,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/gesture_recognition,cuda:0,34.20789885520935,15251.9375,1197.21375,22.71199999999999,96.65,714.0,64500,270,0,218.33966970443726,12.259192228470583,0.76,22.02428960800171,100,NVIDIA RTX A6000
llava-hf/llava-1.5-13b-hf,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/gesture_recognition,cuda:0,44.28007936477661,27243.9375,1206.965625,22.09999999999999,98.79,1054.0,64500,275,0,359.9396514892578,7.599016570696795,0.73,36.18889331817627,100,NVIDIA RTX A6000
llava-hf/llava-v1.6-vicuna-13b-hf,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/gesture_recognition,cuda:0,39.5793616771698,27243.9375,1295.2485546875,21.188999999999993,99.43,3513.08,232540,333,0,1019.2847990989684,3.2314780577768385,0.53,103.04881978034973,100,NVIDIA RTX A6000
Qwen/Qwen2.5-VL-3B-Instruct,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/gesture_recognition,cuda:0,12.48340654373169,9651.9375,1536.40875,25.452000000000012,89.86,40.76,34346,241,0,139.7343111038208,17.018705929003673,0.5858585858585859,14.160888671875,100,NVIDIA RTX A6000
Qwen/Qwen2.5-VL-7B-Instruct,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/activity_recognition,cuda:0,26.54803967475891,19719.9375,1549.15875,23.929999999999996,88.66,39.6,13813,222,0,123.72820377349854,17.713893494380624,0.050505050505050504,12.532535552978516,100,NVIDIA RTX A6000
microsoft/Phi-3.5-vision-instruct,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/activity_recognition,cuda:0,14.488373756408691,9973.9375,1390.284375,26.19299999999998,98.46,3100.009375,79856,409,0,752.0046973228455,5.427534081572316,0.11,75.35650515556335,100,NVIDIA RTX A6000
allenai/Molmo-7B-D-0924,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/activity_recognition,cuda:0,54.686736822128296,32441.9375,975.1598046875,20.825999999999993,100.0,4291.24,37688,262,0,691.0781335830688,3.7362385320477074,0.0,70.12400245666504,100,NVIDIA RTX A6000
meta-llama/Llama-3.2-11B-Vision-Instruct,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/activity_recognition,cuda:0,36.71168828010559,23175.9375,1257.795,20.160999999999998,96.07,33.98,6400,873,0,300.6926894187927,28.891248877302562,0.0,30.21676230430603,100,NVIDIA RTX A6000
openbmb/MiniCPM-V-2_6,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/activity_recognition,cuda:0,27.56318473815918,17483.9375,1577.29125,23.433000000000003,93.63,142.0,3500,218,0,190.88930130004883,11.334279940955424,0.01,19.23368763923645,100,NVIDIA RTX A6000
